Date,Account,Source,Action,Memo,Symbol,Volume,TxHash,Sender,Recipient
2020-01-28 21:40:53 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GBMNMVNWFVP4ANS5UI5356LA3TWRWT2OUTLOI2ZBXWMPHVH553F6NN67,XLM,0.5000000,ff0829d05a998ccbf3721d45c707973851582b3e7e990926829156a78ca01376,GBMNMVNWFVP4ANS5UI5356LA3TWRWT2OUTLOI2ZBXWMPHVH553F6NN67,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
2020-01-28 21:45:56 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GBMNMVNWFVP4ANS5UI5356LA3TWRWT2OUTLOI2ZBXWMPHVH553F6NN67,XLM,0.5000000,44bb436cb55eb8a961d691c56761f98d695a9d6673a5ba67ee1bfdf130f7d3a5,GBMNMVNWFVP4ANS5UI5356LA3TWRWT2OUTLOI2ZBXWMPHVH553F6NN67,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
2020-04-15 18:01:07 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GCWXXU6OABUNBTAAKCNSUJZN3URC72KYMYBNVGOIAIW35B5LH4AARIOL,XLM,0.1000000,a098700bcbfb134c704f9e2993af666fd4e7e2223763e4f25c5a7ec287ca1b89,GCWXXU6OABUNBTAAKCNSUJZN3URC72KYMYBNVGOIAIW35B5LH4AARIOL,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
2020-07-08 09:41:04 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GAIL3Y7HN6DGED3RMFCHO5LD6CJHZHGSDBHSFBAP7PPJTE4DJH5CGKXL,XLM,0.0000100,332d3f36a9d3be78db3103dff19add702c31ca8ac80ce86b498b1ab580d6b773,GAIL3Y7HN6DGED3RMFCHO5LD6CJHZHGSDBHSFBAP7PPJTE4DJH5CGKXL,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
2020-07-08 09:52:59 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GAIL3Y7HN6DGED3RMFCHO5LD6CJHZHGSDBHSFBAP7PPJTE4DJH5CGKXL,XLM,0.0000100,95fc8aa850b32f60ef0361cba45ee2fd4d58ba0d383ea60994986022c5cfaded,GAIL3Y7HN6DGED3RMFCHO5LD6CJHZHGSDBHSFBAP7PPJTE4DJH5CGKXL,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
2020-07-09 08:44:28 +0000,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA,StellarNetwork,INCOME,GBIYDVSYY24O7PJS54CLIMWT2KIB5EF6LDVRESD647KX7B3PNIKUYT5V,XLM,0.0000100,1c09fd223f33d9af9b1c617e6e676b5fcccf2e9bf55ec35ecf13a6f1eee184bf,GBIYDVSYY24O7PJS54CLIMWT2KIB5EF6LDVRESD647KX7B3PNIKUYT5V,GA2VRL65L3ZFEDDJ357RGI3MAOKPJZ2Z3IJTPSC24I4KDTNFSVEQURRA
